id,period,kind,key,pdf_id,pdf_page,section,end_section,label,occurrence,column,printed,value,provider_field
2025-12-31/minority,2025-12-31,instant,minority,1225090973,109,1、合并资产负债表,2、母公司资产负债表,少数股东权益,0,0,"184,066,761.35",184066761.35,FN69
2025-12-31/equity,2025-12-31,instant,equity,1225090973,109,1、合并资产负债表,2、母公司资产负债表,所有者权益合计,0,0,"10,711,670,026.73",10711670026.73,FN72
2025-12-31/revenue,2025-12-31,ytd,revenue,1225090973,112,3、合并利润表,4、母公司利润表,一、营业总收入,0,0,"30,514,403,376.92",30514403376.92,
2025-12-31/total_costs,2025-12-31,ytd,total_costs,1225090973,112,3、合并利润表,4、母公司利润表,二、营业总成本,0,0,"27,648,582,451.49",27648582451.49,
2025-12-31/rd,2025-12-31,ytd,rd,1225090973,112,3、合并利润表,4、母公司利润表,研发费用,0,0,"2,892,785,453.80",2892785453.80,
2025-12-31/finance_costs,2025-12-31,ytd,finance_costs,1225090973,112,3、合并利润表,4、母公司利润表,财务费用,0,0,"52,618,524.62",52618524.62,FN80
2025-12-31/interest_expense,2025-12-31,ytd,interest_expense,1225090973,112,3、合并利润表,4、母公司利润表,其中：利息费用,0,0,"52,051,103.68",52051103.68,FN305
2025-12-31/interest_income,2025-12-31,ytd,interest_income,1225090973,112,3、合并利润表,4、母公司利润表,利息收入,0,0,"41,626,910.34",41626910.34,FN306
2025-12-31/other_income,2025-12-31,ytd,other_income,1225090973,112,3、合并利润表,4、母公司利润表,加：其他收益,0,0,"55,440,811.79",55440811.79,
2025-12-31/investment_income,2025-12-31,ytd,investment_income,1225090973,112,3、合并利润表,4、母公司利润表,投资收益,0,0,"275,717,386.48",275717386.48,
2025-12-31/fair_value_income,2025-12-31,ytd,fair_value_income,1225090973,112,3、合并利润表,4、母公司利润表,公允价值变动收益,0,0,"139,596,732.28",139596732.28,
2025-12-31/credit_impairment,2025-12-31,ytd,credit_impairment,1225090973,112,3、合并利润表,4、母公司利润表,信用减值损失,0,0,"-46,017,003.23",-46017003.23,
2025-12-31/asset_impairment,2025-12-31,ytd,asset_impairment,1225090973,112,3、合并利润表,4、母公司利润表,资产减值损失,0,0,"-364,996,905.04",-364996905.04,
2025-12-31/disposal_income,2025-12-31,ytd,disposal_income,1225090973,112,3、合并利润表,4、母公司利润表,资产处置收益,0,0,"530,824.98",530824.98,
2025-12-31/operating_profit,2025-12-31,ytd,operating_profit,1225090973,112,3、合并利润表,4、母公司利润表,三、营业利润,0,0,"2,926,092,772.69",2926092772.69,FN86
2025-12-31/nonoperating_income,2025-12-31,ytd,nonoperating_income,1225090973,112,3、合并利润表,4、母公司利润表,加：营业外收入,0,0,"4,654,997.91",4654997.91,
2025-12-31/nonoperating_expense,2025-12-31,ytd,nonoperating_expense,1225090973,112,3、合并利润表,4、母公司利润表,减：营业外支出,0,0,"8,274,180.63",8274180.63,
2025-12-31/pbt,2025-12-31,ytd,pbt,1225090973,112,3、合并利润表,4、母公司利润表,四、利润总额,0,0,"2,922,473,589.97",2922473589.97,FN92
2025-12-31/tax_expense,2025-12-31,ytd,tax_expense,1225090973,112,3、合并利润表,4、母公司利润表,减：所得税费用,0,0,"305,279,668.74",305279668.74,FN93
2025-12-31/net_income,2025-12-31,ytd,net_income,1225090973,112,3、合并利润表,4、母公司利润表,五、净利润,0,0,"2,617,193,921.23",2617193921.23,
2025-12-31/current_loans,2025-12-31,instant,current_loans,1225090973,169,29、一年内到期的非流动负债,30、其他流动负债,一年内到期的长期借款,0,0,"143,319,923.70",143319923.70,
2025-12-31/current_bonds,2025-12-31,instant,current_bonds,1225090973,169,29、一年内到期的非流动负债,30、其他流动负债,一年内到期的应付债券,0,0,"1,201,793.53",1201793.53,
2025-12-31/current_leases,2025-12-31,instant,current_leases,1225090973,169,29、一年内到期的非流动负债,30、其他流动负债,一年内到期的租赁负债,0,0,"81,921,896.49",81921896.49,
2025-12-31/all_long_debt,2025-12-31,instant,all_long_debt,1225090973,170,31、长期借款,32、应付债券,小计,0,0,"924,651,923.86",924651923.86,
2025-12-31/all_bonds,2025-12-31,instant,all_bonds,1225090973,171,32、应付债券,33、租赁负债,可转换公司债券,0,0,"1,098,601,595.29",1098601595.29,
2025-12-31/all_leases,2025-12-31,instant,all_leases,1225090973,173,33、租赁负债,34、长期应付职工薪酬,长期租赁负债,0,0,"328,252,456.89",328252456.89,
2025-12-31/deposits,2025-12-31,instant,deposits,1225090973,153,8、其他流动资产,9、长期股权投资,银行定期存单,0,0,"1,663,955,379.72",1663955379.72,
2025-12-31/loan_receivable,2025-12-31,instant,loan_receivable,1225090973,150,6、其他应收款,7、存货,关联方借款,0,0,"19,682,216.97",19682216.97,
