code,period,item,value,unit,period_basis,route,field,scope,reason,pdf_value,pdf_locator,pdf_sha256,announcement_id,available_at,information_as_of,tdx_source,tdx_probe,tdx_probe_sha256
300866,2025-06-30,fv_forward_asset,-23465229.41,CNY,ytd,cninfo_note,,consolidated_note_component,hedging_component_not_total_investment_or_fair_value,-23465229.41,anker/1224614835.pdf#page=143,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,1224614835,2025-08-29 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb
300866,2025-12-31,fv_forward_liability,22945230.61,CNY,ytd,cninfo_note,,consolidated_note_component,hedging_component_not_total_investment_or_fair_value,22945230.61,anker/1225090973.pdf#page=180,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,1225090973,2026-04-10 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f
300866,2026-06-30,fv_forward_liability,18618841.41,CNY,ytd,cninfo_note,,consolidated_note_component,hedging_component_not_total_investment_or_fair_value,18618841.41,anker/1225533054.pdf#page=133,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
300866,2025-06-30,fv_forward_liability,35174981.63,CNY,ytd,cninfo_note,,consolidated_note_component,hedging_component_not_total_investment_or_fair_value,35174981.63,anker/1224614835.pdf#page=143,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,1224614835,2025-08-29 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb
300866,2026-06-30,trading_assets,2283072256.0000000000,CNY,instant,tdx_standard,FN9,provider_default,reviewed_direct_field,2283072248.41,anker/1225533054.pdf#page=57,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225533054,FN9*1,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
300866,2026-06-30,trading_forward_asset,1890858.07,CNY,instant,cninfo_note,,consolidated_note_component,hedging_component_not_total_investment_or_fair_value,1890858.07,anker/1225533054.pdf#page=99,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
300866,2026-06-30,deposits,1214315026.71,CNY,instant,cninfo_note,,consolidated_note_component,classified_component_not_identifiable_from_aggregate,1214315026.71,anker/1225533054.pdf#page=107,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
300866,2026-06-30,loan_receivable,12720528.54,CNY,instant,cninfo_note,,consolidated_note_component,classified_component_not_identifiable_from_aggregate,12720528.54,anker/1225533054.pdf#page=103,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
300866,2026-06-30,loan_allowance,3816158.56,CNY,instant,cninfo_note,,consolidated_note_component,classified_component_not_identifiable_from_aggregate,3816158.56,anker/1225533054.pdf#page=106,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
300866,2026-06-30,dividends_receivable,0.00,CNY,instant,cninfo_reported_zero,,consolidated_statement,dash_confirmed_by_report_not_provider_zero,0.00,anker/1225533054.pdf#page=57,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,,zero_ambiguous,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
300866,2026-06-30,income_tax_payable,547192904.15,CNY,instant,cninfo_note,,consolidated_note_component,income_tax_component_not_all_taxes,547192904.15,anker/1225533054.pdf#page=120,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
300866,2026-06-30,ipo_prepaid,41461101.58,CNY,instant,cninfo_note,,consolidated_note_component,classified_component_not_identifiable_from_aggregate,41461101.58,anker/1225533054.pdf#page=107,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
300866,2026-06-30,repurchase_payable,49124989.54,CNY,instant,cninfo_note,,consolidated_note_component,classified_component_not_identifiable_from_aggregate,49124989.54,anker/1225533054.pdf#page=121,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
300866,2026-06-30,capex_payable,43711357.63,CNY,instant,cninfo_note,,consolidated_note_component,classified_component_not_identifiable_from_aggregate,43711357.63,anker/1225533054.pdf#page=121,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
300866,2026-06-30,ipo_payable,14743520.00,CNY,instant,cninfo_note,,consolidated_note_component,classified_component_not_identifiable_from_aggregate,14743520.00,anker/1225533054.pdf#page=121,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
300866,2025-12-31,cf_property_depreciation,896999.9694824219,CNY,ytd,tdx_standard,FN579,provider_default,reviewed_direct_field,896989.58,anker/1225090973.pdf#page=184,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,1225090973,2026-04-10 16:00:00+00,2026-09-06T00:00:00+00:00,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f/1225090973,FN579*10000,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f
